SNAil.ID,Infection.Status,fact,fact1,week,egg.masses
C-1 ,0,un,a,1,1
C-2,0,un,a,1,0
C-3,0,un,a,1,5
C-4,0,un,a,1,4
C-5,0,un,a,1,0
C-6,0,un,a,1,2
C-7,0,un,a,1,0
C-8,0,un,a,1,5
C-9,0,un,a,1,0
C-10,0,un,a,1,8
C-11,0,un,a,1,0
C-12,0,un,a,1,0
C-13,0,un,a,1,0
C-14,0,un,a,1,5
C-15,0,un,a,1,0
C-16,0,un,a,1,4
C-17,0,un,a,1,4
C-18,0,un,a,1,5
C-19,0,un,a,1,10
C-20,0,un,a,1,6
C-21,0,un,a,1,6
C-22,0,un,a,1,4
C-23,0,un,a,1,6
C-24,0,un,a,1,0
C-25,0,un,a,1,7
C-26,0,un,a,1,4
C-27,0,un,a,1,8
C-28,0,un,a,1,5
C-29,0,un,a,1,1
C-30,0,un,a,1,2
C-31,0,un,a,1,0
C-32,0,un,a,1,0
C-33,0,un,a,1,6
C-34,0,un,a,1,2
C-35,0,un,a,1,6
C-36,0,un,a,1,2
C-37,0,un,a,1,0
C-38,0,un,a,1,2
C-39,0,un,a,1,0
C-40,0,un,a,1,1
I-1,2,in,in,1,4
I-2,2,in,in,1,0
I-3,2,in,in,1,3
I-4,2,in,in,1,8
I-5,2,in,in,1,5
I-6,2,in,in,1,3
I-7,2,in,in,1,7
I-8,2,in,in,1,7
I-9,2,in,in,1,0
I-10,1,ex,ex,1,0
I-11,2,in,in,1,0
I-12,2,in,in,1,5
I-13,1,ex,ex,1,8
I-14,2,in,in,1,5
I-15,2,in,in,1,0
I-16,1,ex,ex,1,0
I-17,2,in,in,1,0
I-18,2,in,in,1,8
I-19,2,in,in,1,0
I-20,2,in,in,1,4
I-21,2,in,in,1,0
I-22,2,in,in,1,4
I-23,1,ex,ex,1,1
I-24,2,in,in,1,6
I-25,2,in,in,1,4
I-26,1,ex,ex,1,4
I-27,2,in,in,1,3
I-28,2,in,in,1,4
I-29,1,ex,ex,1,6
I-30,2,in,in,1,4
I-31,2,in,in,1,8
I-32,2,in,in,1,9
I-33,2,in,in,1,7
I-34,2,in,in,1,6
I-35,2,in,in,1,6
I-36,2,in,in,1,9
I-37,2,in,in,1,6
I-38,1,ex,ex,1,0
I-39,2,in,in,1,7
I-40,2,in,in,1,0
I-41,2,in,in,1,0
I-42,2,in,in,1,0
I-43,1,ex,ex,1,NA
I-44,1,ex,ex,1,0
I-45,1,ex,ex,1,5
I-46,2,in,in,1,7
I-47,2,in,in,1,1
I-48,1,ex,ex,1,4
I-49,1,ex,ex,1,4
I-50,1,ex,ex,1,4
C-1 ,0,un,a,2,0
C-2,0,un,a,2,0
C-3,0,un,a,2,8
C-4,0,un,a,2,2
C-5,0,un,a,2,0
C-6,0,un,a,2,5
C-7,0,un,a,2,0
C-8,0,un,a,2,8
C-9,0,un,a,2,1
C-10,0,un,a,2,12
C-11,0,un,a,2,4
C-12,0,un,a,2,1
C-13,0,un,a,2,0
C-14,0,un,a,2,3
C-15,0,un,a,2,3
C-16,0,un,a,2,13
C-17,0,un,a,2,8
C-18,0,un,a,2,9
C-19,0,un,a,2,15
C-20,0,un,a,2,8
C-21,0,un,a,2,10
C-22,0,un,a,2,8
C-23,0,un,a,2,11
C-24,0,un,a,2,0
C-25,0,un,a,2,12
C-26,0,un,a,2,8
C-27,0,un,a,2,3
C-28,0,un,a,2,9
C-29,0,un,a,2,5
C-30,0,un,a,2,8
C-31,0,un,a,2,0
C-32,0,un,a,2,0
C-33,0,un,a,2,8
C-34,0,un,a,2,2
C-35,0,un,a,2,11
C-36,0,un,a,2,7
C-37,0,un,a,2,0
C-38,0,un,a,2,3
C-39,0,un,a,2,3
C-40,0,un,a,2,4
I-1,2,in,in,2,6
I-2,2,in,in,2,0
I-3,2,in,in,2,10
I-4,2,in,in,2,5
I-5,2,in,in,2,9
I-6,2,in,in,2,1
I-7,2,in,in,2,11
I-8,2,in,in,2,6
I-9,2,in,in,2,0
I-10,1,ex,ex,2,0
I-11,2,in,in,2,3
I-12,2,in,in,2,7
I-13,1,ex,ex,2,17
I-14,2,in,in,2,12
I-15,2,in,in,2,6
I-16,1,ex,ex,2,10
I-17,2,in,in,2,7
I-18,2,in,in,2,13
I-19,2,in,in,2,0
I-20,2,in,in,2,9
I-21,2,in,in,2,0
I-22,2,in,in,2,11
I-23,1,ex,ex,2,0
I-24,2,in,in,2,5
I-25,2,in,in,2,6
I-26,1,ex,ex,2,8
I-27,2,in,in,2,7
I-28,2,in,in,2,9
I-29,1,ex,ex,2,5
I-30,2,in,in,2,4
I-31,2,in,in,2,11
I-32,2,in,in,2,10
I-33,2,in,in,2,8
I-34,2,in,in,2,7
I-35,2,in,in,2,11
I-36,2,in,in,2,12
I-37,2,in,in,2,10
I-38,1,ex,ex,2,12
I-39,2,in,in,2,8
I-40,2,in,in,2,10
I-41,2,in,in,2,6
I-42,2,in,in,2,0
I-43,1,ex,ex,2,NA
I-44,1,ex,ex,2,6
I-45,1,ex,ex,2,9
I-46,2,in,in,2,9
I-47,2,in,in,2,7
I-48,1,ex,ex,2,NA
I-49,1,ex,ex,2,7
I-50,1,ex,ex,2,12
C-1 ,0,un,a,3,0
C-2,0,un,a,3,0
C-3,0,un,a,3,6
C-4,0,un,a,3,4
C-5,0,un,a,3,3
C-6,0,un,a,3,5
C-7,0,un,a,3,NA
C-8,0,un,a,3,6
C-9,0,un,a,3,7
C-10,0,un,a,3,8
C-11,0,un,a,3,15
C-12,0,un,a,3,9
C-13,0,un,a,3,0
C-14,0,un,a,3,0
C-15,0,un,a,3,11
C-16,0,un,a,3,10
C-17,0,un,a,3,12
C-18,0,un,a,3,7
C-19,0,un,a,3,7
C-20,0,un,a,3,6
C-21,0,un,a,3,3
C-22,0,un,a,3,6
C-23,0,un,a,3,4
C-24,0,un,a,3,0
C-25,0,un,a,3,7
C-26,0,un,a,3,3
C-27,0,un,a,3,NA
C-28,0,un,a,3,8
C-29,0,un,a,3,3
C-30,0,un,a,3,3
C-31,0,un,a,3,2
C-32,0,un,a,3,0
C-33,0,un,a,3,9
C-34,0,un,a,3,12
C-35,0,un,a,3,10
C-36,0,un,a,3,7
C-37,0,un,a,3,2
C-38,0,un,a,3,7
C-39,0,un,a,3,0
C-40,0,un,a,3,4
I-1,2,in,in,3,2
I-2,2,in,in,3,1
I-3,2,in,in,3,5
I-4,2,in,in,3,6
I-5,2,in,in,3,7
I-6,2,in,in,3,9
I-7,2,in,in,3,9
I-8,2,in,in,3,5
I-9,2,in,in,3,0
I-10,1,ex,ex,3,2
I-11,2,in,in,3,2
I-12,2,in,in,3,4
I-13,1,ex,ex,3,14
I-14,2,in,in,3,3
I-15,2,in,in,3,6
I-16,1,ex,ex,3,10
I-17,2,in,in,3,7
I-18,2,in,in,3,9
I-19,2,in,in,3,3
I-20,2,in,in,3,7
I-21,2,in,in,3,0
I-22,2,in,in,3,4
I-23,1,ex,ex,3,NA
I-24,2,in,in,3,2
I-25,2,in,in,3,5
I-26,1,ex,ex,3,6
I-27,2,in,in,3,4
I-28,2,in,in,3,6
I-29,1,ex,ex,3,4
I-30,2,in,in,3,4
I-31,2,in,in,3,8
I-32,2,in,in,3,7
I-33,2,in,in,3,7
I-34,2,in,in,3,5
I-35,2,in,in,3,9
I-36,2,in,in,3,6
I-37,2,in,in,3,7
I-38,1,ex,ex,3,9
I-39,2,in,in,3,6
I-40,2,in,in,3,8
I-41,2,in,in,3,9
I-42,2,in,in,3,0
I-43,1,ex,ex,3,NA
I-44,1,ex,ex,3,6
I-45,1,ex,ex,3,9
I-46,2,in,in,3,6
I-47,2,in,in,3,2
I-48,1,ex,ex,3,NA
I-49,1,ex,ex,3,5
I-50,1,ex,ex,3,9
C-1 ,0,un,a,4,0
C-2,0,un,a,4,0
C-3,0,un,a,4,1
C-4,0,un,a,4,3
C-5,0,un,a,4,6
C-6,0,un,a,4,5
C-7,0,un,a,4,NA
C-8,0,un,a,4,4
C-9,0,un,a,4,3
C-10,0,un,a,4,4
C-11,0,un,a,4,1
C-12,0,un,a,4,2
C-13,0,un,a,4,0
C-14,0,un,a,4,NA
C-15,0,un,a,4,8
C-16,0,un,a,4,7
C-17,0,un,a,4,8
C-18,0,un,a,4,8
C-19,0,un,a,4,2
C-20,0,un,a,4,3
C-21,0,un,a,4,5
C-22,0,un,a,4,5
C-23,0,un,a,4,2
C-24,0,un,a,4,NA
C-25,0,un,a,4,7
C-26,0,un,a,4,1
C-27,0,un,a,4,NA
C-28,0,un,a,4,4
C-29,0,un,a,4,1
C-30,0,un,a,4,2
C-31,0,un,a,4,9
C-32,0,un,a,4,NA
C-33,0,un,a,4,7
C-34,0,un,a,4,8
C-35,0,un,a,4,13
C-36,0,un,a,4,5
C-37,0,un,a,4,5
C-38,0,un,a,4,4
C-39,0,un,a,4,2
C-40,0,un,a,4,4
I-1,2,in,in,4,0
I-2,2,in,in,4,0
I-3,2,in,in,4,1
I-4,2,in,in,4,7
I-5,2,in,in,4,1
I-6,2,in,in,4,5
I-7,2,in,in,4,0
I-8,2,in,in,4,2
I-9,2,in,in,4,0
I-10,1,ex,ex,4,6
I-11,2,in,in,4,5
I-12,2,in,in,4,0
I-13,1,ex,ex,4,10
I-14,2,in,in,4,11
I-15,2,in,in,4,2
I-16,1,ex,ex,4,8
I-17,2,in,in,4,0
I-18,2,in,in,4,6
I-19,2,in,in,4,0
I-20,2,in,in,4,7
I-21,2,in,in,4,0
I-22,2,in,in,4,1
I-23,1,ex,ex,4,NA
I-24,2,in,in,4,0
I-25,2,in,in,4,0
I-26,1,ex,ex,4,1
I-27,2,in,in,4,1
I-28,2,in,in,4,2
I-29,1,ex,ex,4,4
I-30,2,in,in,4,1
I-31,2,in,in,4,2
I-32,2,in,in,4,1
I-33,2,in,in,4,0
I-34,2,in,in,4,0
I-35,2,in,in,4,2
I-36,2,in,in,4,6
I-37,2,in,in,4,7
I-38,1,ex,ex,4,9
I-39,2,in,in,4,0
I-40,2,in,in,4,3
I-41,2,in,in,4,5
I-42,2,in,in,4,0
I-43,1,ex,ex,4,NA
I-44,1,ex,ex,4,5
I-45,1,ex,ex,4,11
I-46,2,in,in,4,1
I-47,2,in,in,4,0
I-48,1,ex,ex,4,NA
I-49,1,ex,ex,4,4
I-50,1,ex,ex,4,7
C-1 ,0,un,a,5,1
C-2,0,un,a,5,0
C-3,0,un,a,5,3
C-4,0,un,a,5,5
C-5,0,un,a,5,10
C-6,0,un,a,5,0
C-7,0,un,a,5,NA
C-8,0,un,a,5,3
C-9,0,un,a,5,5
C-10,0,un,a,5,7
C-11,0,un,a,5,1
C-12,0,un,a,5,3
C-13,0,un,a,5,0
C-14,0,un,a,5,NA
C-15,0,un,a,5,6
C-16,0,un,a,5,6
C-17,0,un,a,5,7
C-18,0,un,a,5,7
C-19,0,un,a,5,6
C-20,0,un,a,5,4
C-21,0,un,a,5,7
C-22,0,un,a,5,4
C-23,0,un,a,5,7
C-24,0,un,a,5,NA
C-25,0,un,a,5,6
C-26,0,un,a,5,5
C-27,0,un,a,5,NA
C-28,0,un,a,5,6
C-29,0,un,a,5,0
C-30,0,un,a,5,4
C-31,0,un,a,5,9
C-32,0,un,a,5,NA
C-33,0,un,a,5,12
C-34,0,un,a,5,5
C-35,0,un,a,5,13
C-36,0,un,a,5,6
C-37,0,un,a,5,9
C-38,0,un,a,5,7
C-39,0,un,a,5,3
C-40,0,un,a,5,6
I-1,2,in,in,5,0
I-2,2,in,in,5,0
I-3,2,in,in,5,0
I-4,2,in,in,5,0
I-5,2,in,in,5,4
I-6,2,in,in,5,2
I-7,2,in,in,5,0
I-8,2,in,in,5,0
I-9,2,in,in,5,0
I-10,1,ex,ex,5,10
I-11,2,in,in,5,4
I-12,2,in,in,5,0
I-13,1,ex,ex,5,9
I-14,2,in,in,5,4
I-15,2,in,in,5,0
I-16,1,ex,ex,5,6
I-17,2,in,in,5,0
I-18,2,in,in,5,0
I-19,2,in,in,5,0
I-20,2,in,in,5,10
I-21,2,in,in,5,0
I-22,2,in,in,5,0
I-23,1,ex,ex,5,NA
I-24,2,in,in,5,0
I-25,2,in,in,5,0
I-26,1,ex,ex,5,0
I-27,2,in,in,5,0
I-28,2,in,in,5,4
I-29,1,ex,ex,5,4
I-30,2,in,in,5,0
I-31,2,in,in,5,0
I-32,2,in,in,5,0
I-33,2,in,in,5,0
I-34,2,in,in,5,0
I-35,2,in,in,5,0
I-36,2,in,in,5,3
I-37,2,in,in,5,0
I-38,1,ex,ex,5,7
I-39,2,in,in,5,0
I-40,2,in,in,5,1
I-41,2,in,in,5,1
I-42,2,in,in,5,0
I-43,1,ex,ex,5,NA
I-44,1,ex,ex,5,5
I-45,1,ex,ex,5,9
I-46,2,in,in,5,0
I-47,2,in,in,5,0
I-48,1,ex,ex,5,NA
I-49,1,ex,ex,5,4
I-50,1,ex,ex,5,9
